"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"C27","BLK 108/109 CLEMENTI STREET 11","21010.3372","33832.4370","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.30","N","33832.4370 21010.3372","103.77051277091007 1.3222422628168249","No"
"C28","BLK 201/206 CLEMENTI AVENUE 6","20211.4950","33712.5638","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","2.10","N","33712.5638 20211.4950","103.76333478601896 1.3211579795665713","No"
"C28M","BLK 208 CLEMENTI AVE 6","20070.9020","33845.6740","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","6","2.15","N","33845.6740 20070.9020","103.7620714506784 1.3223617440785467","No"
"C29","BLK 501-505 WEST COAST DRIVE","19754.8437","32767.8945","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","32767.8945 19754.8437","103.75923178966606 1.3126146115237984","No"
"C29A","BLK 503 WEST COAST DRIVE","19749.6211","32629.2695","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","2.15","N","32629.2695 19749.6211","103.75918489896867 1.3113609355931228","No"
"C3M","BLK 416A CLEMENTI AVE 1","20967.8189","32458.1382","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","32458.1382 20967.8189","103.77013103455867 1.3098135876330486","No"
"C3ML","BLK 419, 420 AND 420A CLEMENTI AVE 1","20852.2200","32522.1809","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","32522.1809 20852.2200","103.76909230827643 1.310392740280104","No"
"C30","BLK 507-509 WEST COAST DRIVE","19998.4863","32640.0059","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","32640.0059 19998.4863","103.76142107025233 1.3114580973822936","No"
"C31","BLK 510/511 WEST COAST ROAD","19907.0039","32541.0547","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","32541.0547 19907.0039","103.76059908247035 1.3105631944603584","No"
"C32","BLK 514-519 WEST COAST ROAD","19738.0729","32326.8057","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","32326.8057 19738.0729","103.75908121333632 1.3086255588801015","No"
"C33","BLK 601-613 CLEMENTI WEST STREET 1","20603.5028","31877.1704","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","31877.1704 20603.5028","103.76685761800195 1.3045594379669765","No"
"C34","BLK 702/703 WEST COAST ROAD","19944.5184","32148.1942","SURFACE CAR PARK","ELECTRONIC PARKING","NO","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","32148.1942 19944.5184","103.76093627015332 1.3070103153063957","No"
"C35","BLK 704-714 CLEMENTI WEST STREET 2","20000.4883","31993.6074","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","31993.6074 20000.4883","103.76143922562301 1.3056123024137576","No"
"C36","BLK 728/729 CLEMENTI WEST STREET 2","20236.2232","31960.1377","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","31960.1377 20236.2232","103.76355742121358 1.305309674521169","No"
"C37","BLK 720-727,730-731 CLEMENTI WEST STREET 2","20282.3230","31764.2687","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","2.15","N","31764.2687 20282.3230","103.76397169772962 1.3035383171263137","No"
