"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"MP6S","BLK 77 MARINE DRIVE","36356.2562","31612.4137","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","31612.4137 36356.2562","103.90840334501843 1.3021648304353717","No"
"MP7","BLK 54/55/56/58/59 MARINE TERRACE","37055.7578","31990.2090","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","31990.2090 37055.7578","103.91468879090584 1.3055812783399696","No"
"MR3","BLK 1/2 MAUDE ROAD","30868.3965","32223.6387","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","32223.6387 30868.3965","103.85909249026949 1.307693525819984","No"
"MR4","BLK 7 KING GEORGE AVENUE","30966.4004","32248.0234","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","32248.0234 30966.4004","103.8599731043318 1.3079140431771652","No"
"MR5","BLK 804/805, 809 MAUDE ROAD","31057.5078","32274.7238","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","2.50","N","32274.7238 31057.5078","103.86079175042093 1.3081555032749435","No"
"MR6","BLK 8 FRENCH ROAD","31029.1022","32165.4648","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","32165.4648 31029.1022","103.860536501889 1.307167406305099","No"
"MR7","BLK 801/802 FRENCH ROAD","31013.0397","32209.1946","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","5.40","N","32209.1946 31013.0397","103.8603921769383 1.3075628847261747","No"
"M1","BLK 85 TO 94/92A PIPIT ROAD","33911.4824","33924.4674","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","33924.4674 33911.4824","103.88643638826342 1.3230747811611239","No"
"M16","BLK 37 CIRCUIT ROAD","33937.7242","34516.7499","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","34516.7499 33937.7242","103.8866722993353 1.3284311670898452","No"
"M20","BLK 65 & 80 CIRCUIT RD","34003.7503","34423.7894","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","34423.7894 34003.7503","103.88726556178891 1.3275904526526752","No"
"M25","BLK 53 TO 56/68/70/71/72 PIPIT RD/CIRCUIT RD","34105.2715","34051.7061","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","4.50","N","34051.7061 34105.2715","103.88817771100877 1.3242254443101507","No"
"M28","BLK 82A/83 MACPHERSON LANE","33769.1354","34814.6793","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","34814.6793 33769.1354","103.88515749278551 1.3311255664042714","No"
"M29","BLK 12 TO 14 MERPATI RD","33423.9102","34401.8750","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","34401.8750 33423.9102","103.88205537855607 1.3273923754858112","No"
"M3","BLK 19 TO 21/23/24/30/32 BALAM RD","33830.3378","34765.5068","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","34765.5068 33830.3378","103.8857074211039 1.3306808562275376","No"
"M32","BLK 120 TO 124 PAYA LEBAR WAY","33506.0078","33840.2109","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","33840.2109 33506.0078","103.8827929694789 1.3223128712377634","No"
"M33","BLK 125 TO 126 ALJUNIED ROAD","33436.9727","33943.3672","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","33943.3672 33436.9727","103.88217267100742 1.3232457923541578","No"
"M34","BLK 81/82 MACPHERSON LANE","33822.8767","34967.5382","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","34967.5382 33822.8767","103.8856404174847 1.33250795730011","No"
"M35","BLK 41 TO 42 CIRCUIT ROAD","33853.4512","34389.6627","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","0","0.00","N","34389.6627 33853.4512","103.8859150359735 1.3272818522606618","No"
"M36","BLK 43 CIRCUIT ROAD","33802.3661","34325.7124","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","0","0.00","N","34325.7124 33802.3661","103.88545599646321 1.3267035184005498","No"
"M37","BLK 38 TO 40 CIRCUIT ROAD","33818.9546","34433.4006","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","0","0.00","N","34433.4006 33818.9546","103.8856050735695 1.327677408792971","No"
"M38","BLK 63 TO 64 CIRCUIT ROAD","34027.2450","34375.4240","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","0","0.00","N","34375.4240 34027.2450","103.88747666495222 1.3271530486482315","No"
"M4","BLK 22/34/36 CIRCUIT RD","34047.6106","34582.1714","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","34582.1714 34047.6106","103.88765970175433 1.3290227940584072","No"
"NBRM","BLK 13 NORTH BRIDGE ROAD MSCP","31304.4327","31815.6323","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","1.90","N","31815.6323 31304.4327","103.86301043995836 1.3040036166790818","No"
"NTL","BLK 601 - 605A/D TAMPINES AVE 9/ ST 61","39322.4773","38244.2282","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","38244.2282 39322.4773","103.9350586269767 1.3621395753090666","No"
"NT1","BLK 601 TAMPINES AVE 9","39457.9515","38139.8942","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","38139.8942 39457.9515","103.93627591213452 1.3611959653243422","No"
"NT2","BLK 605 TAMPINES ST 61","39463.5572","38242.0507","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","38242.0507 39463.5572","103.93632632224252 1.362119828623557","No"
"NT3","BLK 609 TAMPINES NTH DR 1","39454.1027","38455.3230","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","4","2.15","N","38455.3230 39454.1027","103.93624144919517 1.3640485877681516","No"
"NT4","613 TAMPINES NTH DR 1","39451.0111","38606.4942","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","8","2.15","N","38606.4942 39451.0111","103.93621372719701 1.3654157251482684","No"
"NT5","BLK 618 TAMPINES STREET 61","39861.4320","38191.3771","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","N","38191.3771 39861.4320","103.9399014697318 1.3616613990271371","No"
"NT6","BLK 647 TAMPINES STREET 62","40071.7965","38819.0019","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","7","2.15","N","38819.0019 40071.7965","103.94179198726476 1.367337318759001","No"
"NT6L","BLK 647 TAMPINES STREET 62","40022.4095","38900.4834","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","38900.4834 40022.4095","103.94134824452101 1.368074227174044","No"
"NT7","BLK 646 TAMPINES STREET 62","40204.2581","38671.6502","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","7","2.15","N","38671.6502 40204.2581","103.9429821841097 1.3660046706209779","No"
"NT7L","BLK 646 TAMPINES STREET 62","40166.8931","38573.2629","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","38573.2629 40166.8931","103.94264639424617 1.3651149080077425","No"
"PDC4","BLK 475 CHOA CHU KANG AVE 3","17475.2563","39985.5474","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","4","2.15","N","39985.5474 17475.2563","103.73874607750489 1.3778877152433913","No"
"PDC5","BLK 533A CHOA CHU KANG ST 51","17989.9222","41499.0296","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","8","2.00","N","41499.0296 17989.9222","103.74337020617482 1.3915752693009933","No"
"PDJ3","BLK 399 YUNG SHENG RD","15435.0187","35211.8516","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.10","Y","35211.8516 15435.0187","103.72041507700814 1.33471539136349","No"
"PDJ7","BLK 762A JURONG WEST ST 75","12930.5286","36787.2543","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","8","2.00","N","36787.2543 12930.5286","103.69791006448088 1.3489615906402508","No"
"PDL1","BLK 168 PUNGGOL FIELD","36861.9823","41783.2542","BASEMENT CAR PARK","ELECTRONIC PARKING","NO","NO","NO","2","2.15","Y","41783.2542 36861.9823","103.91295050922268 1.394146066299304","No"
"PDL2","681 PUNGGOL DR","36878.2862","42747.5714","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","Y","42747.5714 36878.2862","103.91309730699777 1.40286699105738","No"
"PDP4","BLK 446A FAJAR ROAD","21106.0500","40635.5878","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","8","2.15","N","40635.5878 21106.0500","103.77137123961244 1.383767523148724","No"
"PDP5","BLK 524A JELAPANG ROAD","20516.3308","40817.8945","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","N","40817.8945 20516.3308","103.76607212381168 1.3854160932518798","No"
"PDQ5","BLK 57 DAWSON RD","25514.1791","30563.4425","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","3","2.15","N","30563.4425 25514.1791","103.81098242424254 1.292679329769361","No"
"PDR2","BLK 258 PASIR RIS ST 21","42604.5156","38773.6442","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","3","1.90","N","38773.6442 42604.5156","103.96455015442594 1.3669259778172504","No"
"PDR6","BLK 624A ELIAS RD","40065.8952","39988.2066","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","9","2.00","N","39988.2066 40065.8952","103.94173943625067 1.3779111716188202","No"
"PDR7","BLK 734 PASIR RIS ST 72","39453.4352","40190.3477","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","8","2.00","N","40190.3477 39453.4352","103.93623612163651 1.379739506038698","No"
"PDS1","BLK 118 RIVERVALE DR","35624.8730","40823.8590","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","12","2.15","N","40823.8590 35624.8730","103.90183385802798 1.38546999828579","No"
"PDT8","BLK 866A TAMPINES ST 83","39261.5396","37495.7200","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","Y","37495.7200 39261.5396","103.93451077983535 1.3553703676578694","No"
"PDW5","BLK 548 WOODLANDS DR 44","23640.6900","45832.6288","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","6","2.15","N","45832.6288 23640.6900","103.7941461022233 1.4307681685236948","No"
"PDW7","BLK 768 WOODLANDS AVE 6","24076.3392","47457.4236","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","2","2.15","N","47457.4236 24076.3392","103.79806059149975 1.445462284938923","No"
"PDW8","BLK 888A WOODLANDS DR 50","23752.5835","46647.3671","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","7","2.15","N","46647.3671 23752.5835","103.79515144765338 1.4381363820727737","No"
"PD8W","BLK 883A WOODLANDS ST 82","23295.7544","47198.0451","SURFACE/MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","8","2.15","N","47198.0451 23295.7544","103.79104630681391 1.4431164400349494","No"
"PLB1","BLK 440 PASIR RIS DRIVE 4","41971.3984","39012.3008","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO","0","0.00","N","39012.3008 41971.3984","103.95886128429326 1.3690846037201423","No"
"PL10","BLK 174 PUNGGOL FIELD","36567.6957","42059.8507","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","42059.8507 36567.6957","103.91030619395787 1.3966475919364","No"
"PL11","BLK 175 PUNGGOL FIELD","36383.4393","42222.0385","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","42222.0385 36383.4393","103.90865055016039 1.3981144128367358","No"
"PL12","BLK 137 EDGEDALE PLAINS","36467.5455","41586.9263","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","4","2.15","N","41586.9263 36467.5455","103.90940612733498 1.3923706667284828","No"
"PL13","BLK 131 EDGEDALE PLAINS","36576.9670","41721.6090","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","4","2.15","N","41721.6090 36576.9670","103.91038940445063 1.3935886554890804","No"
"PL14","BLK 292 PUNGGOL CENTRAL","35982.6704","42695.5596","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","9","2.15","N","42695.5596 35982.6704","103.90504945007166 1.4023968775457853","No"
"PL15","BLK 171 EDGEDALE PLAINS","36821.2980","41862.4746","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","41862.4746 36821.2980","103.91258495275902 1.3948625188764774","No"
"PL16","BLK 180 EDGEFIELD PLAINS","36463.3164","42276.7143","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","8","2.15","N","42276.7143 36463.3164","103.90936832589114 1.3986088574081859","No"
"PL17","BLK 642 PUNGGOL DRIVE","37244.6093","42288.7308","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","42288.7308 37244.6093","103.9163888739782 1.3987172907709324","No"
"PL18","BLK 162 PUNGGOL CENTRAL","37013.9934","41998.5248","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","41998.5248 37013.9934","103.91431651502297 1.3960928474761458","No"
"PL19","BLK 186-188,190-192 PUNGGOL CENTRAL","36545.1733","42395.6863","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","2","2.15","Y","42395.6863 36545.1733","103.91010391091964 1.3996847723542278","No"
"PL20","BLK 638 PUNGGOL DRIVE","37111.8432","42381.4517","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","42381.4517 37111.8432","103.91519589302487 1.3995558665879666","No"
"PL21","BLK 166 PUNGGOL CENTRAL","37141.8926","41874.4571","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","41874.4571 37141.8926","103.91546575186777 1.3949707847951496","No"
"PL22","BLK 644 PUNGGOL CENTRAL","37191.4597","42180.6537","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","4","2.10","N","42180.6537 37191.4597","103.91591124799312 1.3977398982918745","No"
"PL23","BLK 201 PUNGGOL FIELD","35831.2383","42404.7448","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","8","2.15","N","42404.7448 35831.2383","103.90368863010534 1.399766896599864","No"
"PL24","BLK 178 & 193 EDGEFIELD PLAINS","36348.4338","42380.9942","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","2","2.15","Y","42380.9942 36348.4338","103.90833604330263 1.3995519599597044","No"
"PL25","BLK 172 EDGEDALE PLAINS","36731.4595","41935.1533","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","8","2.15","N","41935.1533 36731.4595","103.9117777047101 1.3955198255395493","No"
"PL26","BLK 650 PUNGGOL CENTRAL","37123.7973","42130.2229","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","4","2.15","N","42130.2229 37123.7973","103.91530323143323 1.397283842157002","No"
"PL27","BLK 204 PUNGGOL FIELD","35762.7151","42260.5799","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","8","2.15","N","42260.5799 35762.7151","103.90307285517675 1.3984631405322843","No"
"PL28","BLK 194 PUNGGOL ROAD","36145.8836","42652.6976","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","42652.6976 36145.8836","103.90651604233183 1.4020092036707783","No"
"PL29","BLK 633 PUNGGOL DRIVE","36897.0646","42490.1374","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","1","2.15","Y","42490.1374 36897.0646","103.91326596736533 1.4005388470136588","No"
"PL30","BLK 170D PUNGGOL EAST","36989.2194","41806.2447","BASEMENT CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","1","2.15","Y","41806.2447 36989.2194","103.91409384167889 1.3943539447375144","No"
"PL31","BLK 301 PUNGGOL CENTRAL","36110.4866","42837.2882","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","NO","NO","YES","8","2.15","N","42837.2882 36110.4866","103.90619802298995 1.4036785832909175","No"
"PL32","BLK 302 PUNGGOL PLACE","35933.3863","42966.5081","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","NO","NO","YES","10","2.15","N","42966.5081 35933.3863","103.90460666624058 1.4048472500172464","No"
"PL33","BLK 621A - 621B EDGEFIELD WALK","36521.4363","42569.3563","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","0","4.50","N","42569.3563 36521.4363","103.9098906657592 1.4012553870089215","No"
"PL34","BLK 603 PUNGGOL ROAD","36309.0710","42857.6068","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","42857.6068 36309.0710","103.90798247324103 1.4038622806100294","No"
"PL35","BLK 602 PUNGGOL CENTRAL","36232.4010","42775.4525","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","42775.4525 36232.4010","103.90729350674636 1.4031193293259572","No"
"PL36","BLK 305 PUNGGOL ROAD","36113.2644","43096.1637","COVERED CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","N","43096.1637 36113.2644","103.90622305636491 1.406019757475757","No"
"PL37","BLK 614 EDGEFIELD PLAINS","36495.4409","42788.2417","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","13","2.15","N","42788.2417 36495.4409","103.90965714004695 1.4032349137543962","No"
"PL38","BLK 612 PUNGGOL DRIVE","36381.5675","42939.0974","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","42939.0974 36381.5675","103.90863393763117 1.404599230619109","No"
"PL39","BLK 267 PUNGGOL FIELD","35192.9049","42872.8244","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","3","2.15","N","42872.8244 35192.9049","103.89795280345737 1.404000203581804","No"
"PL40","BLK 270 PUNGGOL FIELD","35326.1743","42841.9622","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","2","2.15","N","42841.9622 35326.1743","103.89915033137767 1.4037210635186224","No"
"PL41","BLK 273 PUNGGOL PLACE","35636.9282","42723.6586","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","2","2.15","N","42723.6586 35636.9282","103.9019426804346 1.4026510883226684","No"
"PL42","BLK 616 PUNGGOL DRIVE","36722.4823","42665.6779","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","2","2.15","N","42665.6779 36722.4823","103.91169725663087 1.4021264239945668","No"
"PL43","BLK 288 PUNGGOL PLACE","35765.2615","42620.0879","COVERED CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","N","42620.0879 35765.2615","103.9030958327368 1.4017143985503484","No"
"PL44","BLK 206A PUNGGOL PLACE","35568.6186","42304.0762","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","0","3.80","N","42304.0762 35568.6186","103.90132875322395 1.3988565566526352","No"
"PL45","BLK 169 PUNGGOL FIELD","37034.4487","41726.1275","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","2","2.15","N","41726.1275 37034.4487","103.91450023771391 1.393629380207697","No"
"PL46","BLK 624 PUNGGOL CENTRAL","36714.9868","42459.2349","COVERED CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","1","2.15","N","42459.2349 36714.9868","103.91162984145198 1.400259431747795","No"
"PL47","BLK 207 PUNGGOL PLACE","35522.7156","42499.8392","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","7","2.15","N","42499.8392 35522.7156","103.9009163284307 1.40062697761417","No"
"PL48","BLK 271 PUNGGOL WALK","35463.4411","42762.8004","COVERED CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","1","2.15","N","42762.8004 35463.4411","103.90038376648239 1.4030051179067977","No"
"PL49","BLK 210 PUNGGOL PLACE","35463.2889","42357.9568","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","11","2.15","N","42357.9568 35463.2889","103.90038229474253 1.39934386050485","No"
"PL50","BLK 211 PUNGGOL WALK","35358.2193","42587.4444","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","6","2.15","N","42587.4444 35358.2193","103.89943821756682 1.4014192894388904","No"
"PL51","BLK 213 PUNGGOL WALK","35270.4165","42433.5886","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","11","2.15","N","42433.5886 35270.4165","103.89864919917358 1.400027896076509","No"
"PL52","BLK 312 SUMANG LINK","35583.2467","43557.8383","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","13","2.15","N","43557.8383 35583.2467","103.90146052684788 1.4101951180886232","No"
"PL53","BLK 266 PUNGGOL WAY","35221.6263","43013.9553","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","2","2.15","N","43013.9553 35221.6263","103.89821092418175 1.4052765326468883","No"
"PL54","BLK 259 PUNGGOL FIELD","34902.6149","42928.7700","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","14","2.15","N","42928.7700 34902.6149","103.89534432107754 1.4045062262447912","No"
"PL55","BLK 261 PUNGGOL WAY","35069.2354","43028.1349","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","11","2.15","N","43028.1349 35069.2354","103.8968415686655 1.405404805634535","No"
"PL56","BLK 672 EDGEFIELD PLAINS","36726.0925","43212.3119","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","16","2.15","N","43212.3119 36726.0925","103.91172986197292 1.4070699794626342","No"
"PL57","BLK 665 PUNGGOL DRIVE","37055.2239","42642.9595","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","42642.9595 37055.2239","103.91468720451964 1.4019208645334236","No"
"PL58","663  PUNGGOL DRIVE","37289.3261","42421.1514","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","13","2.15","N","42421.1514 37289.3261","103.91679073265146 1.399914839464193","No"
"PL59","BLK 308 PUNGGOL WALK","35282.7970","43327.1927","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","1","2.15","Y","43327.1927 35282.7970","103.89876067269095 1.4081093216534804","No"
"PL60","BLK 670 EDGEFIELD PLAINS","36896.1695","43074.4327","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","14","2.15","N","43074.4327 36896.1695","103.91325810351427 1.4058229986447555","No"
"PL61","BLK 678 PUNGGOL DRIVE","36410.0435","43106.6938","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","2","2.15","N","43106.6938 36410.0435","103.90888986674659 1.4061149025133166","No"
"PL62","BLK 256 SUMANG WALK","34923.1009","43042.4085","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","43042.4085 34923.1009","103.89552843195192 1.405533926416853","No"
"PL63","BLK 677 PUNGGOL DRIVE","36486.8089","43065.2274","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","2","2.15","N","43065.2274 36486.8089","103.90957965561788 1.4057398730818202","No"
"PL64","BLK 676 PUNGGOL DRIVE","36557.4238","43015.7992","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","3","2.15","N","43015.7992 36557.4238","103.91021417456209 1.4052928416984625","No"
"PL65","BLK 310 PUNGGOL WALK","35389.8621","43509.9902","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","2.15","Y","43509.9902 35389.8621","103.89972278958615 1.4097624479246258","No"
"PL66","BLK 121 EDGEDALE PLAINS","36352.1816","41721.0087","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","11","2.15","N","41721.0087 36352.1816","103.9083695310193 1.3935832922158495","No"
"PL67","BLK 314 PUNGGOL WAY","35143.9937","43367.4988","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","2.15","N","43367.4988 35143.9937","103.89751341807954 1.4084738701672737","No"
